plaintext,ciphertext,key,cipher_type
uddbtqrmhasfqsiofhrl,nwwumjkfatlyjlbhyake,19,Caesar
nanhzlcloiqungl eipr,kxkewizilfnrkdi bfmo,23,Caesar
 xeryoxsrwccvpwomoug, cviblchidxxekdlnlft,None,Atbash
cikcfscjvhokpshektlu,fhzfgtfquyjzstyxzcil,"(9, 13)",Affine
qcizdou qdzzgj iklbr,ywmpvkf yvppia mgcjx,tjwvzsilmagcbrknyxqefhduop,Substitution
k eiwuwmdrwbprflukam,mwijbejqlnqxbuwhvzrr,cjebf,Autokey
glmvp kdeivlrqxsrzyp,ueyel ywqrrzkcgofsky,otmjw,Vigenère
 lpqiwgauyywkjudqdze, iukqlqwaywjddepgyuz,3,Rail Fence
omndxdnlcmfzbqayq ln,fdeuouectdwqshrph ce,17,Caesar
ygouekxbriomtqishwmh,pywrdidplmyjuhqgtpcp,rsixz,Autokey
iksrdbtmhfezlqinkxes,lzmtbxhgydvecqlszfvm,wxibvdaylpzcgsrnqtmhjuofke,Substitution
gfuzshfavfxzdfvodcnp,gusfvxdvdnfzhafzfocp,2,Rail Fence
vzujsqqaksmaiwlkj je,imhwfddnxfznvjyxw wr,None,ROT13
mcdoidcctrgiemrydn i,krvpsvrrotgsuktyvh s,fqrvuxgbsealkhpjmtwodnciyz,Substitution
bq oesvruwnuxp tebc ,bueqrwtb vn cosup ex,5,Rail Fence
jzvdup muuwd jreniel,kawevq nvvxe ksfojfm,1,Caesar
lymxrgzrcvn iuxxcumh,adsvyrxdzmtmzwskpcge,pfgyh,Autokey
kwwz rtqnaebbqqugeid,wqqv zlgbomhhggeymkt,"(19, 14)",Affine
jmfucnnbtojuszeyaokk,kmiyewzgnqwhtsshugjo,badec,Autokey
nihlhqjnjoagkt mzkua,mrsosjqmqlztpg napfz,None,Atbash
oln yrdgf nsauwhqfyu,dkslofotslevgzjuifsq,pzfyq,Autokey
uttkbqbcmjz ao iwmuu,utbbmza wutkqcj oimu,2,Rail Fence
jmokpcuhapkthmhbfcfc,qqeprjyxfrrxxrjijske,heqfc,Vigenère
cqrvzwitkbnhgbiuczpz,pdeimjvgxoautovhpmcm,None,ROT13
xfmbscancd hnpzpjylw,xmsac nzjlfbcndhppyw,2,Rail Fence
ikmfvnarojw hifdwyic,fnlstyxrcpm wfsjmofk,xukjqsawfpnglychdrbeztmvoi,Substitution
cbgsmqtnrwkokdqlerg ,dchtnruosxlplermfsh ,"(1, 1)",Affine
gxkjhzxfrqzrxrmfxwvk,tkxwumksedmekezskjix,None,ROT13
kgxirhzoxczctvfnzmfm,fzspwuilstitmceqivev,"(21, 3)",Affine
apbancgfkowsrocfwdyd,nconaptsxbjfebpsjqlq,None,ROT13
yx  dhxh cg nlkoqgpr,y qxhcog xgkp h lrdn,5,Rail Fence
ydssppks atxiicht yb,ohfvfnnkfpihavcaqvgd,qendq,Autokey
hmtusweboofkncaydbng,pisybmaohhxzjweqkojn,eowkaxnpufzcijhrgtbsylmdqv,Substitution
ojlsafyenztzddrwxfbf,bwyfnslramgmqqejksos,None,ROT13
beetetufjpqhdfbubycj,yvvgvgfuqkjswuyfybxq,None,Atbash
imdvuvwfota u fjzbg ,kofxwxyhqvc w hlbdi ,2,Caesar
voltnvcgspbmdjykrfve,mfckemtxjgsduapbiwmv,17,Caesar
nwnjbjixsboz kanzfgv,dedrtrohstgn uqdnfib,"(3, 16)",Affine
hhc yhmsvyrgvko q vq,hmvvhhsgk qcyvroq y ,4,Rail Fence
xoddqhbeihnjclixjpje,kbqqduorvuawpyvkwcwr,None,ROT13
qwgvhfvjvcboexkswgtj,kqapbzpdpwviyremqand,20,Caesar
evhgaiyiw rvjnmwaprr,dbpzrxexv obfajvrhoo,rmsydkzpxfqijanhtolucbvweg,Substitution
mwttguxahvwsjhysvbmx,ndggtfczsedhqsbheync,None,Atbash
isizwgofjwhhhukrejra,ewpjmcsmtmdloeaniqbq,wehkq,Vigenère
fdpjlxtlsggkftyk ybg,oigibcwabrddqleqxdue,jfrzq,Autokey
blolcnyzsclbkkakgrxy,agqgiymokigahhjhzlvm,jaixwpzsurhgtyqedlkcbfnvmo,Substitution
a vzvqxsvfvvltkawwku,c liziziejnxbcosymty,cqjes,Vigenère
bfbexdhsk  vccarmxcj,bbxhk camcfeds vcrxj,2,Rail Fence
evmfnzv lwyixtswjxry,iapktda obemcwxcncud,efdfg,Vigenère
hfqgqsiveolpkukh  dl,ptkekganiohzwcwp  xh,"(11, 16)",Affine
qtvbfkrunfwjqrflklog,qvfrnwqfkotbkufjrllg,2,Rail Fence
ckipbypgzjukjidbtoam,klbxnzxgowrlwbhntapj,pnkhqygebwlijdaxscftrvumzo,Substitution
gyqfeljnf pluycyvhdj,dybblijyb wiujyfshof,xalwh,Vigenère
qsiedkrjqqmfpgorjooj,atyfqajrutwwywedodux,kbqbn,Autokey
cld ty pjliswincembm,xodkjayswegflrykwijz,vdaxq,Autokey
jbnwqxilkx pizmpbymv,woajdkvyxk cvmzcolzi,None,ROT13
tdfztaysixkpvxuzlbpc,cxtbnjsgkrtjjzoifprw,juocu,Vigenère
uebuzqbzkumtqjzuxxtf,jtqjofqozjbifyojmmiu,15,Caesar
okb zuhithwdrjgxwtkw,otwkihxtbhwgk udjwzr,5,Rail Fence
elfrtpyvkzllibgipgok,chpvwtjabsajdlftaopq,ywked,Autokey
bnqhaiblkgcittovcfpm,oadunvoyxtpvggbipscz,None,ROT13
mbjgdwycvv yhfzhutzg,zowtqjlpii lusmuhgmt,None,ROT13
 gpvpfijckstrywobhdr, tkekurqxphgibdlyswi,None,Atbash
wrfumkvegzmensjmbmun,vmcdpgmjalwzryiyfzmw,zvxjd,Autokey
bpdwzf odakpszouligz,pdkgyt ckkjdggytzwnj,oohkz,Vigenère
svpln  p nnztymq djf,lkmwe  m eeacjnd qoy,"(17, 17)",Affine
gid ulnwqosk vapwdad,jhp adkmxoqn gcvmpcp,cyspbtjrhendzkovxuqlagmfwi,Substitution
varwoubofmhuutperozg,ezidlfylunsffgkvilat,None,Atbash
 yp sqbnedtmqjfprslc, jw eyyylpbjbqrxodso,lhmix,Vigenère
ojtnuwdfbdozeaiaqoin,yeroafcntcyhjmzmsyzo,mtkcjnwlzediboypsuxravfgqh,Substitution
vybzphfqslr htcjnrpv,uxayogeprkq gsbimqou,25,Caesar
gebhqj gbwscqxojillr,ngocuq iorwjskjnpnym,hcnve,Vigenère
ytmodkitjlhsufrbrwvn,ymdijhurrvtoktlsfbwn,2,Rail Fence
pdgbuhasm  aeqlmbodn,dxsjmzcyi  cekbijwxp,"(7, 2)",Affine
oyusdvfgxedrfsgcruzy,blhfqistkrqesftpehml,None,ROT13
hhxfakwwdfjkwknssce ,uuksnxjjqswxjxaffpr ,None,ROT13
b ndyumvhgupjfrtvapg,f rhcyqzlkytnjvxzetk,4,Caesar
cyobtojfkxmmmtwqgadf,deivvppzeznsgnyrmuxh,bguuc,Vigenère
dyzs adw lpuuntydspq,fkjq ifm xtoovpkfqts,"(25, 8)",Affine
 bjyvkwpoqukwbfjaibz, qkpotxmdvftxqakhbqy,"(9, 7)",Affine
aarqyygtnlopxxk bbmm,zzqpxxfsmknowwj aall,25,Caesar
vetrhwx yqoksdbpwqpy,geqrrrbgpxkhfbrdgisz,laxak,Autokey
pb dxsimhuanpdqemfov,xy eqagztdslxemkzwof,syrekwctghujzloxmvandfiqpb,Substitution
scpdzyziqgxzpghsvuoo,biedzwzgjtfzetkbmohh,vpidnutkglyarshejxbqomcfwz,Substitution
txckmbrzoorlnefqzzdi,rvaikzpxmmpjlcdoxxbg,24,Caesar
 kl mhntbhuctdyiziqv, op qlrxflygxhcmdmuz,4,Caesar
hwsanudgl wpzp vjfoa,hgeisunst bpjb dofym,akmif,Vigenère
dfscdjyrulapefbekysv,qsfpqwlehyncrsorxlfi,None,ROT13
yhlsajphoqlcmu rfjjn,rojlzcwfhpejkn qyqhg,thytz,Vigenère
srmhmsv keu ny pgqbc,hinsnhe pvf mb ktjyx,None,Atbash
glhvlvovqzjnuer bmxz,hjymjmomacwzgel kvrc,tkipeqhyfwnjvzoualdxgmsrbc,Substitution
rmiiwksmbliqqpnahsji,inrrdphnyorjjkmzshqr,None,Atbash
dfbogakmljzzkffywqyc,xhnamigqlbddghhyokys,"(5, 8)",Affine
osikumombouckglwvlxr,lhrpfnlnylfxptodeoci,None,Atbash
jrcrlmbhsutnloligxed,rsxscthbnekqcoclfzyj,phxjyufblrictqowgsnkevazmd,Substitution
danabpdinpwmjgpyxpgj,dmvmfjdqvjopxnjurjnx,mfedbaniqxwspvgjzcthlkoruy,Substitution
dodgsyyosfltcdfwezbt,dssceogyoftdwztdylfb,3,Rail Fence
tseaqylkeyfvgajydreu,yifgwdblkeklhgpdtska,fqbgg,Vigenère
nxchzk zqdqvgwwvkvp ,mcxsap ajwjetddepek ,None,Atbash
ffmqcccfkavqmgm nadj,sszdpppsxnidztz anqw,None,ROT13
eyewltgqcfgnvnzaszhk,wtkmnlbwshyibdbsnfxm,svgqc,Vigenère
xakgaowwwsnitcphjld ,ekqtglwgcsbepyhurefc,hkgng,Autokey
izpuekzchsvtfwtmflmj,ohfgiehstqbldwludzuj,"(21, 2)",Affine
gnbyyauxatkbovgzmftk,taollnhkngxobitmzsgx,None,ROT13
zpehmzcgafvltrbnfta ,sdsnlyrkhrunzrgiqmro,toogz,Autokey
qnemniwpcwyrzuwutb q,funzutbkxbramlblqc f,"(21, 7)",Affine
pdcriexkstgs otaq cp,kwxirvcphgth lgzj xk,None,Atbash
ngkairivbjcquo nnffd,fvwmbeofbrtyppwpdztq,spmmt,Autokey
eplwy ubotlzugxjrxmd,eorpbtjxlulxmw zgdyu,5,Rail Fence
rnlzrt z avxmyychfdn,cwgocs o jiybttzakuw,"(21, 9)",Affine
aisbaxyotqkmhojmamxv,zrhyzcblgjpnslqnznce,None,Atbash
yhtxog ttrhzspxddlil,y sihgtzplltothxdxrd,4,Rail Fence
pcihamcbfdzyhucdvtvt,yftjevfmhhibswgmyexx,jdlce,Vigenère
yf ttruhhor xqjmmhzx,sa borocpjr rlrhmbuf,uviva,Vigenère
zxblrbjljohbabmqmcac,hiwvtwnvncuwpwjqjbpb,pwbzyfluxnevjgcoqtramsdikh,Substitution
lwfuapvejwwcumcmcbzw,dvpzuewmsvvfzqfqfyrv,uyfbmpxhlsgdqijetnaczwvokr,Substitution
mawqhqwlwc cmfeci gg,brfnmnfyfx xbgdxp jj,"(3, 17)",Affine
btswwcfsbpaepejhp ss,dhommwbodjkijiznj oo,"(19, 10)",Affine
igerixywcqwunzaylxev,vtrevkljpdjhamnlykri,None,ROT13
fxpudtc ys kydyaqzlp,gqaxcin ft dfcfjpusa,"(15, 9)",Affine
yqizjuceq ntuutkqaqp,ldvmwhprd aghhgxdndc,None,ROT13
xrlkzgbxbnbianzdnqfo,wcavyfmmmmatpyycyfqn,zlplz,Vigenère
duinekartasqtuvmqbpn,kxjdrrdsjnztukittcfa,hdbqn,Vigenère
dijgbgaexizgsbsgziuc,djbaxzsszuiggeigbgic,2,Rail Fence
hxnbjtgxhwkzmkmnjtox,wybjlqxywspcipiblqey,vjhdrtxwglpkibemnoaqfusyzc,Substitution
ske cyxlbdhl kaclvhn,secxbh alhk yldlkcvn,2,Rail Fence
nobkvulactmoekpwdund,mlypefozxgnlvpkdwfmw,"(25, 25)",Affine
rjerbax xew ffmuyrn ,rbxfyjra e fur exwmn,3,Rail Fence
lotkbfffeakrqehlwokp,iczyzctlsyhfwsfikuyn,xogoy,Vigenère
tvpaharfamjnzyjleefd,trzfvafnyedphajjeaml,4,Rail Fence
nwivzzpbzjowvxmgatfj,mdreaakyaqldecntzguq,None,Atbash
ti luleuhxexsvuqdpkb,xg aygiswbzbqkylhnzf,eypev,Vigenère
ddfzsiqcgmujxwjtybno,ffdjqasgcwozlmzpkhvu,"(25, 8)",Affine
khvedfnjawenptetkdsq,kvbwiafcxtwflewekism,xnhiwajvgckoyfqlmzseubtdrp,Substitution
onitqtn slhnohnjcrk ,lmrgjgm hosmlsmqxip ,None,Atbash
tmbhbvhzrupcjknetirc,zotvtrvbhipcnwxuzehc,"(9, 10)",Affine
xzhlhqyodxaxonauvmry,casosjblwczclmzfenib,None,Atbash
jkyubkythaendo rbts ,rawmxawdzoybpk lxdu ,"(9, 14)",Affine
jlswlm gbrchxjcrba t,tpdgpa vkyujntuykb x,bkusmlvjhtwpaczriydxoqgnfe,Substitution
k gzkfixyebmswtwpbdp,hwnempvdxogupuxxbtzi,xjhfc,Autokey
gh wxngcgzkmvgqrxgrs,ts dcmtxtapnetjictih,None,Atbash
xj gpzzxxxqfishsudam,oc dslloooyxneqebmra,rzjmhxdqnctwaiusyvefbgpokl,Substitution
tkhgawdxgrcwkdwggdrw,gxutnjqktepjxqjttqej,None,ROT13
lzdgigacozlqzzmnbytt,ettidzusquekpbhgvovo,tuqcv,Vigenère
qlbombg nudguotgunty,qmnuulob ugognybgdtt,3,Rail Fence
kyhonwjgcikxpbjrmcop,rfovudqnjprewiqytjvw,7,Caesar
ctugnypxlvpdh qbdxi ,pghtalckyicqu doqkv ,None,ROT13
gcdxzqmtwbamluyzmkkf,tpqkmdzgjonzyhlmzxxs,None,ROT13
asrlwoiajcvyxlcvirhp,zhiodlrzqxebcoxerisk,None,Atbash
q alspvfbwtpbgrptcsx,n nlnessbrimogmeqpss,xnavp,Vigenère
uig astlyimukl iosu ,dhz bvmgthxdpg hfvd ,"(17, 1)",Affine
qxsw finweaksrrjkqyr,jchd urmdvzphiiqpjbi,None,Atbash
bpxazjytmuoleuamikie,ocknmwlgzhbyrhnzvxvr,None,ROT13
 fpjyoptqwwqjqpjffxq, pjxfotqqfqpyqwpfjwj,4,Rail Fence
csyrtfdeyjpujer jzdk,iyexzljkepvapkx pfjq,6,Caesar
nxhenvsmnlhslrvrqjsu,akuraifzayufyeiedwfh,None,ROT13
wpsemkyhudwcgqd mfdu,xihdjbfcpmxvlzm jump,"(17, 13)",Affine
gmrcqdxpmzln cwkladz,gx dmdpncazrqmlwlczk,4,Rail Fence
nmihgpzwdhuwuwmhh c ,rqmlktdahlyayaqll g ,4,Caesar
vhfogujnjwcellkpudln,pbziaodhdqwyffejoxfh,20,Caesar
wquurboswoncg thihjm,fuhgtksfiqwgt fjrlwy,jenmc,Vigenère
cwsbtzoysobcgkymijxj,rbxwpotdnkqhlfubnosf,pffvw,Vigenère
aojhgyhueryofhkvexpk,nbwutluhrelbsuxirkcx,None,ROT13
ndcawxetnduairqvtowx,mwxzdcvgmwfzrijegldc,None,Atbash
nhoc ytwucnefaicosjr,bdsw gzyqwbevouwsilr,"(17, 14)",Affine
ijjyundpbbrwtcrgsjvo,tmtgnygzjuczdkkrvtdh,ldkit,Vigenère
ldurgqvtwpq zdxukaut,ttrhabynnvgiszmkxzxq,iqxqu,Autokey
itjtgqmeybyb kowi vb,vgwgtdzrlolo xbjv io,None,ROT13
wxdmjbeylrrozrsbnnmj,vpdqaxbbxassxcjsbmdb,zsaer,Autokey
boimygzjkt ozkljqmyb,ylrnbtaqpg lapoqjnby,None,Atbash
mlpcvpppermllhcbitko,zycpicccrezyyupovgxb,None,ROT13
ew nymlvhdm kiyhmt z,rj alzyiuqz xvluzg m,None,ROT13
qqrcwztknkssbudvicle,ddepjmgxaxffohqivpyr,None,ROT13
xq anvmvgzuxnxnmhtkh,cj zmenetafcmcmnsgps,None,Atbash
ussdagedzuuwdjfggbfs,hffqntrqmhhjqwsttosf,None,ROT13
ggnlwkjzvdpnpyqjpypq,mmvlroxbefqvqknxqkqn,apdfwsmhyxoltvgqncuzjerikb,Substitution
xeptziitfyudvaueeowp,krcgmvvgslhqinhrrbjc,None,ROT13
wxtdrdcqai p mvdelnn,jkgqeqpdnv c ziqryaa,None,ROT13
iiegtixyrtjpigrmekpr,vvrtgvklegwcvtezrxce,None,ROT13
i npf tcqzefaclzpzpo,k arw xhsunwzhiururc,zmhjnwqvkgpilacrsbdxfteyou,Substitution
npjrxsxrndqzshw rmbm,baceqhqebndghjw esfs,pfxnozvjtcrysbmadehukiwqlg,Substitution
jyqsvewpzsduvwuefgxp,refrpnufrnhqkvmhzbtj,igpzu,Autokey
 hewcrauffjmrtqvbonm, hwkgjqurrxijzoplydi,"(21, 16)",Affine
rgbuwstvtwyfrysrcfyx,etohjfgigjlselfepslk,None,ROT13
lopwblswkklxbkfwgpru,ybcjoyfjxxykoxsjtceh,None,ROT13
jzjhoiseng djhmxbxng,vevfktbuzs hvfxpcpzs,rcnhugsftvmixzkqjabowdlpye,Substitution
bipltlalucprboyoagt ,zppjxjhlsgnybmcmhgr ,yhaye,Vigenère
nqm aglckabtvgkdsnqj,rvwjitboxahexqkeliwt,efkwi,Autokey
rrjuaa  pszaayksfv u,iiqfzz  khazzbphue f,None,Atbash
nggu wk ejjvizkub ub,ng kejikbuguw jvzu b,2,Rail Fence
rlzakpmgupcrnaecuxzp,ysghrwtnbwjyuhljbegw,7,Caesar
la ogzvlam  hywohtxv,vw nxmuvwc  esonebru,wytgzhxekqivcpnajlfbduorsm,Substitution
gfppwqmezdlkjnwqghky,gmjkfqeknhypwzlwgpdq,4,Rail Fence
 wkumrjztpzxlyekgsnv, dpfniqagkacobvpthme,None,Atbash
vwucfhmjkspn nhvfxqb,edfxusnqphkm mseucjy,None,Atbash
fwaqpojblym grwiioyt,fjgywob rotaplmwiqyi,4,Rail Fence
nrjvvlzvqxwoedplfdoh,zvqlljnleobipamjdais,ykfapdxswqujrzimevtgclbohn,Substitution
afhodmqqojuqzzxihboz,mebnomvxcmggpngcxanw,mzuzl,Autokey
prxhsgumiczohqhuauck,tieyhpbzxcraydybmbcs,mlcqgupyxjsnzwatdihvbkoefr,Substitution
xuuwtaeuqyjdkkqqebcu,xwxzaxyomrjheaozhlmk,acddh,Autokey
fyfdegm pdddofggwjvq,ffempdogwvydg ddfgjq,2,Rail Fence
brxybecqwifchdyuhbdb,euodnftnujjexzgzjigz,ddrfm,Autokey
cvyacauxdmppc akcyfd,dugjdjxnrlood jtdgsr,jydrkszhmftwleaocibqxupngv,Substitution
qxhsaoysbaxxrlafwdlg,ujxcimaczijjlnipshng,"(17, 8)",Affine
gunhqvsgrmvb qaxtsey,iqzdklaifelh kmbvasw,"(21, 12)",Affine
khhodewzxsnbcqwobooj,psslwvdachmyxjdlyllq,None,Atbash
lqctreqcuxwctzqjhxtu,ydpgerdphkjpgmdwukgh,None,ROT13
xkxjmqsgproxfkwrlltv,zmzlosuirtqzhmytnnvx,2,Caesar
ohqripzwgkgemuhp nnt,wpyzqxheosomucpx vvb,8,Caesar
sojxuar ugshoczw xuq,vrmaxdu xjvkrfcz axt,3,Caesar
sxqzkrpxnsjpymzcmcjv,atxhnjmnmcaevzrlbavu,iwhid,Autokey
lukwdwtnbvtvxcqsjehl,ltxhuwnvcelkdbtqjwvs,4,Rail Fence
bleqwgplxwqkjyhhwzjc,tirvbhapnswzuvdxgihj,sxnff,Autokey
k ycawxzmwfiwfnsnggb,q tyucedmchschwxwjjr,uryavhjnsoqpmwziblxgfkcetd,Substitution
nmpbiv frawnkfufbtkm,azcovi senjaxshsogxz,None,ROT13
ds xdpy cdukthspkt h,fn mcga xstbvchobv c,cvpzr,Vigenère
juyccshyatzuvktzlzzp,whlppfulngmhixgmymmc,None,ROT13
qlyaii bwddemqohpmrn,qkhyjyyzwllrnmrktyhb,azjyb,Autokey
glorugzilzyhdvbgklai,npscangfpgxvyrbnwpqf,qbzytdnvfhwpeksuocljarimxg,Substitution
luprilfaldlhvwiknfyx,yhcevysnyqyuijvxaslk,None,ROT13
xafllfh gwcfhhy t ar,czuoous tdxussb g zi,None,Atbash
wyajvavqbyrwfioswrxd,lvfygfghkvmletxrlmqu,"(5, 5)",Affine
mqnwaqegup teildvdrt,iqmhkcutqpdxkcaqohze,wazlk,Autokey
mvauquwtrxarwprjmbht,pfrqcxgknjdbnldmwsdf,dkrwm,Vigenère
bhpntejnwmihkljvdqyk,iphmulrfvnppckkclixl,hiszb,Vigenère
ritmthc xpzaojfifqzu,fnbaber zvitkhjnjmis,turcxjwenhdgaqkvmfybsolzpi,Substitution
vnwvvvhtuhnkmhkfjyzq,pvmllppjkxhscxazropg,uiqqq,Vigenère
jnwesykpv w mcrksipc,eniolprbm i tjqrlybj,vsjkowgfyerutnzbhqladmicpx,Substitution
sz epfdtys jeljt agc,sy ztsta d jgefjlcpe,5,Rail Fence
habmxbppbqpmthvtwfes,unozkoccodczguigjsrf,None,ROT13
mkvbfgtm wxauzdbnoaj,bxgsapcb vkdrowsqfdi,"(15, 3)",Affine
tslojkxmyofyqjngwqjx,tmldgaqksdusfgpyjfgq,obxneuyirgalkpdcfvmthwjqsz,Substitution
juyzcydqitmdcbdjcyfn,ljbcchxohvkgsjwvfagq,cpdda,Autokey
usnzdsfotphqkfsoqalp,uqozdsdptpholfsooblp,aybaa,Vigenère
onprrlmruqhhxemutspc,jdhlkzzglhstoycbapto,vqsut,Autokey
dlhpwbbrprfykgobgpvo,dwpkglpbrrygbpohbfov,3,Rail Fence
seiwsahlyuubszsjuoka,hvrdhzsobffyhahqflpz,None,Atbash
fbwzd vzkrgeyzhopqnl,alwph tpbxedrpczymon,flqhdaecvsbniozymxgjutwkrp,Substitution
ptnbgaqufaqaoobgsroy,pqootauaoryngfqbsbag,4,Rail Fence
n tbd nephvljuk nwbz,a goq arcuiywhx ajom,None,ROT13
mvnojyulftvfeyjolqph,udvwrgctnbdnmgrwtyxp,8,Caesar
gswifstw yjngjwhxram,fgtqmrht gqmugeowfxu,zoxih,Vigenère
kxziutdusckatcuxvomc,awujgdatawddnuwhvhow,qzvbm,Autokey
mqeza cxhbinmagitb j,nrfab dyicjonbhjuc k,1,Caesar
sthbykete zxqcyuxeeg,xwiorflwl qsznrvsllj,"(25, 15)",Affine
kghysqybqltouohhqkfb,xodipuiyurhjtjdduxey,nywmkeodlbxrfsjcuaphtqvgiz,Substitution
imxnpdliukxbjhdhjlwm,pteuwkspbreiqokoqsdt,7,Caesar
fhqzmidpvxbmvbkiumbd,pyqxgzjtbhfgbfizdgfj,mfojlpeyzvicgantqukrdbwhsx,Substitution
tufzecx xhjrylkyhfs ,gfuavxc csqibopbsuh ,None,Atbash
goeizmzvgeccxwzsyh k,ymwmhexnkmuapahkwz o,sysei,Vigenère
khaigeopjnhmtrwzwsed,pszrtvlkqmsngidadhvw,None,Atbash
jwprwfbbpgrzgq cba t,mayzmifkxwudpy see c,dejiq,Vigenère
b dlzdryx xpjwaleeud,a mwgdqhi epiflseddo,zjlha,Vigenère
qmhzzdcoffezvzhlqrpw,hdyqqutfwwvqmqychign,"(1, 17)",Affine
 oimutefiamesoeiajuy, ycxiwmhcuxmgymcuoif,ubkjmhstconrxvypdqgwizeafl,Substitution
rwfblmbxusriqlznwjld,xbzwwdxcvddjnfreezwc,gfuvl,Autokey
zbk ollujwvhrqkc qrz,cyp xxorofhkovto toe,dxfjm,Vigenère
rnvkyxazvhkmgtulzdfb,atcxohincvxuskqlndyg,igwdmysverxlutbjfazkqcphon,Substitution
xy ocg jtaepdknwi sh,aayvkdlwhckcmdnaxqcu,dclhi,Autokey
prpomdfezgfvepwxlxqr,pzlregxxpffwqodvprme,5,Rail Fence
kvzbloihlvomilbkzcpu,paegqtnmqatrnqgpehuz,5,Caesar
lghekkthrcksnatjmkdo,taryqsnrlismxuzrguxu,iukug,Vigenère
gvabyvdpjfeqcisjmxar,tinoliqcwsrdpvfwzkne,None,ROT13
fghxapdrssbtsiobqbhx,qwqhvujypsqwjagcjtpl,lqjkv,Autokey
nuifqgfvunkoolsspavy,xjdmqpmwjxbeelrrfgwa,gntzompcdhblyxefqkrsjwvuai,Substitution
piuksrqajtpmsdqjkotk,slxnvutdmwspvgtmnrwn,3,Caesar
gldzx fvauetcstallfk,eriod dbfjkrixigjrkz,ygfpg,Vigenère
davtxsf apzxrrngkyyw,wzegchu zkaciimtpbbd,None,Atbash
pq ovfpeekksnospdgkf,te hvstsxkxwbhschudf,eotan,Vigenère
axgfll wtpxjgvwbxspy,yjosolkcyaiwcolygyku,ymind,Autokey
cyvkigjzjfe bmymggup,plixvtwmwsr ozlztthc,None,ROT13
pds h xywcrvposrvspd,kwh s cbdxieklhiehkw,None,Atbash
q agazzvyrpwytkjnokw,i ujusrpblioswecfinq,sudut,Vigenère
dzflwmukgtza teqjhfw,vtjzygksqdta dcilxjy,"(7, 0)",Affine
 pzv ecucnfbpeiygkjp, kae vxfxmuykvrbtpqk,None,Atbash
efiizzenwjuezdubmtig,ezwzmfiznjedbtgieuui,3,Rail Fence
 vvaegcovrlxbttpefwn, evbevagorxtpfnvcltw,3,Rail Fence
kbizohmjvkchpzbnmgex,xovmbuzwixpucmoaztrk,None,ROT13
otp spuufaonulzupoup,klabrdnjssdhoqzicifo,wsloz,Autokey
pmcsoigajjgx qt drip,qtxzujnvqphe la jspk,bhvhg,Vigenère
psoirpiyuqano zuymlc,pojkgpkaqwydj zqaixm,yumnrlftkbhxidjpwgoeqscvaz,Substitution
ybhzpjquhnnnhrbfwzdk,vmoklhrbgcwdbyosjgul,xlhlw,Autokey
 g cgvnxirtawuvoznis, w foqnnlzoamxdjzdla,qdiva,Vigenère
hrfwrdmotalrnrapbfye,xxkrvkdtprodbkaasspe,qgfve,Autokey
zafjdwphippztogotkzy,mnswqjcuvccmgbtbgxml,None,ROT13
xpglpoxe qglvpxkgfeg,kctycbkr dtyickxtsrt,None,ROT13
fnesdyhjdtjiogsxdrlc,todajdunvwhpxjlglfru,obzig,Autokey
ckjvtrzmsamaggxy spy,cjtzsmgx pkvrmaagysy,2,Rail Fence
bbhxhwmfnfiwepeozyeg,ppvdvkrgegnktatlwjtx,yphftgxvnquorelazbimsckdjw,Substitution
meo tipgppbwnqgizqca,phr wlsjssezqtjlctfd,3,Caesar
tusimuhtsjlbcxkxqqsm,thcsuutbxqmsmslkqijx,4,Rail Fence
ogxdukdcdgpwxmgryjet,cyndsadwdyjgnoyxutkl,"(7, 8)",Affine
tztvtkusaqigoo ifstr,gagegpfhzjrtll ruhgi,None,Atbash
vsrujdjdqpljmqzhexjd,fuleynlxaevlgaorgrts,kcukp,Vigenère
omwkuaqwrim kuzjqvck,lndpfzjdirn pfaqjexp,None,Atbash
sud wfeloksfjtfbzhh ,zbk dmlsvrzmqamigoo ,7,Caesar
oakjk qyxvyjbayk ymh,jvfef ltsqtewvtf thc,"(1, 21)",Affine
jbqyydzc bfvaswzxwlw,nfucchdg fjzewadbapa,4,Caesar
nkq wnchcgwawpqo jay,zwc izotosimibca vmk,12,Caesar
mnzsjgokotvdagaemyjp,jgmcusbjgcbrkutzpypp,xtnkl,Autokey
nfzsfmrzurzhtindwhqy,rjdwjqvdyvdlxmrhaluc,4,Caesar
jjkcgnguzflatdltdwt ,jgttjnuadw kgzlldcft,4,Rail Fence
gsxnnlplhtqhuwbaiovq,pnkqqmumecjervsdtfgj,"(15, 3)",Affine
phlxxfhfdolswofgzfil,ksoccusuwlohdlutauro,None,Atbash
zrtmzinzjxauxlaeohkx,gwnrkhesvwihwuxeievx,hfufl,Autokey
oohjaqhreamkksqrhvii,ddshwxspuwjfftxpslgg,wnziuqosghfejvdcxptralkbym,Substitution
sfmnkxpfbgongvewqg d,pcjkhumcydlkdsbtnd a,23,Caesar
tilwdbwxdepjhvv zjx ,grodwydcwvkqsee aqc ,None,Atbash
kjfbxvoqi cfsnbveb z,xwsokibdv psfaoiro m,None,ROT13
okydmabogzwokbmjoab ,qywzusdqghaqydunqsd ,"(11, 18)",Affine
bwwpywtxdhbzihicyhab,giudpxptsfxsfkpdxphj,fmyor,Autokey
blytjuwanxqtlxzwm pe,hrezpacgtdwzrdfcs vk,6,Caesar
